internship_id,Date,Time,profile,company,Location,Min Stipend,Max Stipend,Duration,Apply by Date,Education,Skills,Perks,Number of Skills,Number of Perks
2025WSHP1214,9/27/2025,23:17:12,Sales,Weboin Technologies Private Limited,Chennai,0,10000,13,10 October 2025,Unknown,"Business Analysis, Business Development, Research and Analytics","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",3,4
2025WSHP1215,9/27/2025,22:26:05,Tech,BeingLoop,Mumbai,10000,12000,13,24 October 2025,Post-Graduate,WordPress,"Certificate, Letter Of Recommendation",1,2
2025WSHP1216,9/27/2025,20:17:42,Sales,Kraf Ventures,Pune,10000,17000,13,24 October 2025,Unknown,"Effective Communication, MS-Excel, Presentation skills","Certificate, Flexible, Letter Of Recommendation",3,3
2025WSHP1217,9/21/2025,15:51:36,Exclude,Better,Work from home,0,0,13,2 October 2025,Other,"Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Leadership, Networking, Social Media Marketing, Team Management, Time Management","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",8,4
2025WSHP1218,9/27/2025,22:24:49,Tech,Apport Software Solutions Private Limited,Mumbai,8000,10000,13,19 October 2025,Graduate,"English Proficiency (Spoken), English Proficiency (Written)","Certificate, Letter Of Recommendation",2,2
2025WSHP1219,9/27/2025,21:47:04,Creative,International Institute Of Data Science & Technology,Noida,10000,12000,13,8 October 2025,Unknown,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making","Certificate, Letter Of Recommendation, 5 Days A Week",6,3
2025WSHP1220,9/21/2025,15:23:46,Tech,Suyash Tidke,Work from home,25000,26000,9,11 October 2025,Unknown,"APIs, Firebase, Flutter, GitHub, JSON, MongoDB, Node.js, REST API",Flexible,8,1
2025WSHP1221,9/27/2025,23:11:00,Creative,Pinacle Web India,Thane,0,3000,13,Unknown,Post-Graduate,"Digital Marketing, Facebook Marketing, Google AdWords, Instagram Marketing, Search Engine Optimization (SEO), Social Media Marketing","Certificate, Letter Of Recommendation",6,2
2025WSHP1222,9/21/2025,14:47:30,Others,Kridey Foundation,Work from home,0,0,4,6 October 2025,Professional,"English Proficiency (Spoken), English Proficiency (Written), MS-Office, MS-Word","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",4,4
2025WSHP1223,9/21/2025,15:32:51,Creative,Renske Technologies Inc,Work from home,5000,18000,13,9 October 2025,Professional,"Digital Marketing, News Writing, Search Engine Optimization (SEO), Social Media Marketing",Mentorship,4,1
2025WSHP1224,9/27/2025,21:48:01,Creative,Times Internet,Noida,13000,15000,26,8 October 2025,Unknown,"Content Writing, Creative Writing, English Proficiency (Spoken), English Proficiency (Written)","Certificate, Flexible, 5 Days A Week",4,3
2025WSHP1225,9/27/2025,21:40:25,Creative,StrategiX Media,Gurgaon,10000,15000,13,10 October 2025,Unknown,"Adobe Photoshop, Adobe Premiere Pro, Video Editing, Video Making","Certificate, Letter Of Recommendation",4,2
2025WSHP1226,9/27/2025,22:59:33,Creative,Digi Services,Mumbai,0,13000,26,7 October 2025,Unknown,"Canva, Content Writing, Creative Writing, Digital Marketing, E-commerce, Email Marketing, English Proficiency (Spoken), English Proficiency (Written)",Certificate,8,1
2025WSHP1227,9/27/2025,22:09:23,Sales,Educase India,Hyderabad,0,15000,17,25 October 2025,Unknown,"Effective Communication, English Proficiency (Spoken), Hindi Proficiency (Spoken), Interpersonal skills","Certificate, Letter Of Recommendation",4,2
2025WSHP1228,9/27/2025,22:54:15,Tech,Alpha Konnect Koncepts,Mumbai,0,10000,22,11 October 2025,Unknown,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Search Engine Optimization (SEO), Social Media Marketing, Web Design","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",8,4
2025WSHP1229,9/21/2025,16:17:08,Sales,Bunny Bash Events & Rentals,Work from home,10000,13000,9,10 October 2025,Unknown,"Cold Calling, Content Marketing, English Proficiency (Spoken), Event Management, Social Media Marketing","Certificate, Flexible, 5 Days A Week",5,3
2025WSHP1230,9/21/2025,16:08:53,Tech,Idea Usher,Work from home,10000,15000,26,Unknown,Unknown,"AngularJS, CSS, HTML, JavaScript, MongoDB, MySQL, Node.js, PHP",Certificate,8,1
2025WSHP1231,9/21/2025,15:52:57,Creative,Elevated Leaders Club,Work from home,4000,7000,9,2 October 2025,Unknown,"Content Marketing, Copywriting, Digital Marketing, Facebook Ads, Facebook Marketing, Instagram Ads, Instagram Marketing, LinkedIn Ads","Certificate, Flexible, Letter Of Recommendation",8,3
2025WSHP1232,9/27/2025,21:15:03,Others,IPR Support & Research Services,Noida,2000,10000,26,19 October 2025,Graduate,"Computer skills, English Proficiency (Written), MS-Office, MS-Word",Certificate,4,1
2025WSHP1233,9/28/2025,10:10:27,Sales,DGB Marketing LLP (Bhura Group),Kolkata,9000,13100,26,1 October 2025,Unknown,"Hindi Proficiency (Spoken), MS-Excel, Tally",Unknown,3,0
2025WSHP1234,9/27/2025,21:10:10,Creative,Cinemalt,Gurgaon,4000,10000,26,25 October 2025,Unknown,"Creativity, Social Media Marketing","Certificate, Flexible",2,2
2025WSHP1235,9/27/2025,22:01:11,Tech,Namekart,Gautam Buddha Nagar,20000,25000,26,1 October 2025,Other,Java,"Certificate, 5 Days A Week",1,2
2025WSHP1236,9/27/2025,22:38:23,Creative,PAN India Group,Mumbai,8000,14000,26,23 October 2025,Unknown,"Effective Communication, MS-Office","Certificate, Letter Of Recommendation",2,2
2025WSHP1237,9/21/2025,16:18:51,Others,Millennium Money Finance,Work from home,0,5000,4,2 October 2025,Unknown,"Advanced Excel, Effective Communication, Equity Research, MS-PowerPoint","Certificate, Letter Of Recommendation, 5 Days A Week",4,3
2025WSHP1238,9/27/2025,21:39:02,Others,Times Internet,Gurgaon,14000,15000,26,11 October 2025,Unknown,"Effective Communication, MS-Excel",Certificate,2,1
2025WSHP1239,9/27/2025,20:52:31,Creative,360 Digital Idea,Delhi,3000,5000,26,23 October 2025,Unknown,"Digital Marketing, English Proficiency (Written), Google Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO)",Certificate,5,1
2025WSHP1240,9/21/2025,15:00:58,Sales,Brandcience Advertising LLP,Work from home,6000,15000,17,17 October 2025,Unknown,"English Proficiency (Spoken), Hindi Proficiency (Spoken)","Certificate, Flexible, Letter Of Recommendation",2,3
2025WSHP1241,9/21/2025,15:47:35,Creative,Home For Voiceless Foundation,Work from home,0,0,4,4 October 2025,Unknown,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written)","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",4,4
2025WSHP1242,9/27/2025,20:57:27,Sales,MNR Solutions Private Limited,Ghaziabad,5000,6000,9,27 October 2025,Unknown,"Effective Communication, Interpersonal skills, MS-Office, Time Management",Unknown,4,0
2025WSHP1243,9/27/2025,23:00:06,Sales,Peppermint Communications Private Limited,Ulhasnagar,12000,15000,17,6 October 2025,Unknown,"Effective Communication, English Proficiency (Spoken), Human Resources, Interpersonal skills, MS-Office, Office Management","Certificate, Letter Of Recommendation",6,2
2025WSHP1244,9/27/2025,21:05:43,Others,Shikshacoach,Delhi,2000,4000,26,24 October 2025,Other,"Anchoring, English Proficiency (Spoken), Hindi Proficiency (Spoken)","Certificate, Flexible, Letter Of Recommendation",3,3
2025WSHP1245,9/21/2025,15:49:41,Creative,Fame Technologies,Work from home,5000,10000,9,3 October 2025,Unknown,"Video Editing, Video Making, Voiceover","Certificate, Flexible",3,2
2025WSHP1246,9/27/2025,21:35:45,Creative,Flip Funnel,Gurgaon,12000,20000,13,12 October 2025,Graduate,"Adobe Creative Suite, Canva, Capcut, Descriptive Statistics, Figma","Certificate, Flexible, Letter Of Recommendation, Mentorship, 5 Days A Week",5,5
2025WSHP1247,9/27/2025,23:20:04,Others,Tisteps Private Limited,Chennai,20000,30000,26,15 October 2025,Unknown,"Creative Writing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing","Certificate, Flexible, Letter Of Recommendation, 5 Days A Week",5,4
2025WSHP1248,9/21/2025,15:31:39,Creative,Ayushi  Singh,Work from home,0,5000,17,9 October 2025,Unknown,"Artificial intelligence, Computer skills, Content Marketing, LinkedIn Marketing, Search Engine Optimization (SEO), Social Media Marketing, Technical Writing, Video Editing","Certificate, Flexible, Letter Of Recommendation",8,3
2025WSHP1249,9/21/2025,16:16:13,Creative,Quantazone,Work from home,0,5000,26,Unknown,Unknown,"Canva, Content Management, Digital Marketing, Effective Communication, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Graphic Design","Certificate, 5 Days A Week",8,2
2025WSHP1250,9/21/2025,16:06:43,Creative,Udit Saxena,Work from home,7000,8500,22,Unknown,Unknown,"Video Editing, Video Making","Certificate, Letter Of Recommendation",2,2
2025WSHP1251,9/21/2025,14:43:14,Others,Budding Mariners,Jaipur,7000,8000,26,1 October 2025,Other,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Mathematics, Teaching","Certificate, Flexible",6,2
